Cancer,geneA,geneB,p-Value,Log Odds Ratio,Association
Kidney Chromophobe Cancer,TP53,GSTA1,0.434134615,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,TP53,GSTM2,0.661538462,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,TP53,GSTP1,0.434134615,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,TP53,PIK3CA,0.661538462,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,TP53,RALBP1,0.434134615,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTA1,GSTM2,0.969230769,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTA1,GSTP1,0.938942308,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTA1,PIK3CA,0.969230769,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTA1,RALBP1,0.938942308,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTM2,GSTP1,0.969230769,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTM2,PIK3CA,0.984615385,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTM2,RALBP1,0.030769231,Infinity,Tendency towards co-occurrence(Significant)
Kidney Chromophobe Cancer,GSTP1,PIK3CA,0.969230769,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,GSTP1,RALBP1,0.938942308,#NAME?,Tendency towards mutual exclusivity
Kidney Chromophobe Cancer,PIK3CA,RALBP1,0.969230769,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,MYC,TP53,0.281385688,0.342258174,Tendency towards co-occurrence
Lung Adenocarcinoma,MYC,GSTA1,0.591859282,0.21190046,Tendency towards co-occurrence
Lung Adenocarcinoma,MYC,GSTM2,0.42658877,0.78647912,Tendency towards co-occurrence
Lung Adenocarcinoma,MYC,GSTP1,0.42658877,0.78647912,Tendency towards co-occurrence
Lung Adenocarcinoma,MYC,PIK3CA,0.409617869,0.340759489,Tendency towards co-occurrence
Lung Adenocarcinoma,MYC,RALBP1,0.717386308,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,TP53,GSTA1,0.020574651,2.144761008,Tendency towards co-occurrence(Significant)
Lung Adenocarcinoma,TP53,GSTM2,0.565578414,-0.271933715,Tendency towards mutual exclusivity
Lung Adenocarcinoma,TP53,GSTP1,0.565578414,-0.271933715,Tendency towards mutual exclusivity
Lung Adenocarcinoma,TP53,PIK3CA,1.54E-01,0.560628446,Tendency towards co-occurrence
Lung Adenocarcinoma,TP53,RALBP1,0.552317808,-0.560795729,Tendency towards mutual exclusivity
Lung Adenocarcinoma,GSTA1,GSTM2,0.83644247,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,GSTA1,GSTP1,0.83644247,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,GSTA1,PIK3CA,0.031182299,1.857941376,Tendency towards co-occurrence(Significant)
Lung Adenocarcinoma,GSTA1,RALBP1,0.898813866,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,GSTM2,GSTP1,0.895051832,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,GSTM2,PIK3CA,0.397922403,0.887303195,Tendency towards co-occurrence
Lung Adenocarcinoma,GSTM2,RALBP1,0.935916781,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,GSTP1,PIK3CA,0.602077597,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,GSTP1,RALBP1,0.935916781,#NAME?,Tendency towards mutual exclusivity
Lung Adenocarcinoma,PIK3CA,RALBP1,0.26141117,1.590206551,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,MYC,TP53,0.29371338,Infinity,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,MYC,GSTA1,0.33831625,-0.893168314,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,MYC,GSTM2,0.29402261,0.596154915,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,MYC,GSTP1,0.484027232,0.301475395,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,MYC,PIK3CA,0.26383198,-0.423814247,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,MYC,RALBP1,0.515972768,-0.532654594,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,TP53,GSTA1,0.289568443,-0.797772132,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,TP53,GSTM2,0.356461179,Infinity,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,TP53,GSTP1,0.431025502,Infinity,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,TP53,PIK3CA,0.611653855,-0.072657646,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,TP53,RALBP1,0.568974498,-0.281251182,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,GSTA1,GSTM2,0.566284524,0.121696935,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,GSTA1,GSTP1,0.046742113,1.379605373,Tendency towards co-occurrence(Significant)
Lung Squamous Cell Carcinoma,GSTA1,PIK3CA,0.093637804,0.980829253,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,GSTA1,RALBP1,0.544727544,-0.471714494,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,GSTM2,GSTP1,0.395722766,0.504136636,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,GSTM2,PIK3CA,0.011096091,2.116482813,Tendency towards co-occurrence(Significant)
Lung Squamous Cell Carcinoma,GSTM2,RALBP1,0.604277234,-0.340325806,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,GSTP1,PIK3CA,0.124074192,1.08026315,Tendency towards co-occurrence
Lung Squamous Cell Carcinoma,GSTP1,RALBP1,0.303331748,#NAME?,Tendency towards mutual exclusivity
Lung Squamous Cell Carcinoma,PIK3CA,RALBP1,0.302857505,0.560044696,Tendency towards co-occurrence
Ovarian Serous Cancer,MYC,TP53,0.049194835,1.758550798,Tendency towards co-occurrence(Significant)
Ovarian Serous Cancer,MYC,GSTA1,0.264035226,0.45687063,Tendency towards co-occurrence
Ovarian Serous Cancer,MYC,GSTM2,0.160214647,0.541597282,Tendency towards co-occurrence
Ovarian Serous Cancer,MYC,GSTP1,0.418778293,-0.166148698,Tendency towards mutual exclusivity
Ovarian Serous Cancer,MYC,PIK3CA,0.151457661,0.278359629,Tendency towards co-occurrence
Ovarian Serous Cancer,MYC,RALBP1,0.167311172,-0.463837114,Tendency towards mutual exclusivity
Ovarian Serous Cancer,TP53,GSTA1,0.117945108,-1.421385681,Tendency towards mutual exclusivity
Ovarian Serous Cancer,TP53,GSTM2,0.586038884,-0.203029187,Tendency towards mutual exclusivity
Ovarian Serous Cancer,TP53,GSTP1,0.259618369,Infinity,Tendency towards co-occurrence
Ovarian Serous Cancer,TP53,PIK3CA,0.018277525,2.038823204,Tendency towards co-occurrence(Significant)
Ovarian Serous Cancer,TP53,RALBP1,0.593806061,0.358531955,Tendency towards co-occurrence
Ovarian Serous Cancer,GSTA1,GSTM2,0.307830088,0.693147181,Tendency towards co-occurrence
Ovarian Serous Cancer,GSTA1,GSTP1,0.485785077,-0.582799123,Tendency towards mutual exclusivity
Ovarian Serous Cancer,GSTA1,PIK3CA,0.468529736,0.16805911,Tendency towards co-occurrence
Ovarian Serous Cancer,GSTA1,RALBP1,0.43562513,-0.683668437,Tendency towards mutual exclusivity
Ovarian Serous Cancer,GSTM2,GSTP1,0.409431018,0.328925031,Tendency towards co-occurrence
Ovarian Serous Cancer,GSTM2,PIK3CA,0.109914929,0.639079959,Tendency towards co-occurrence
Ovarian Serous Cancer,GSTM2,RALBP1,0.469468914,0.222186155,Tendency towards co-occurrence
Ovarian Serous Cancer,GSTP1,PIK3CA,0.2690176,-0.31411533,Tendency towards mutual exclusivity
Ovarian Serous Cancer,GSTP1,RALBP1,0.155774968,0.62811471,Tendency towards co-occurrence
Ovarian Serous Cancer,PIK3CA,RALBP1,0.079897293,-0.609235208,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,MYC,TP53,0.013529106,0.996156589,Tendency towards co-occurrence(Significant)
Prostate Adenocarcinoma,MYC,GSTA1,0.538854689,0.389960922,Tendency towards co-occurrence
Prostate Adenocarcinoma,MYC,GSTM2,0.307570863,-0.937162306,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,MYC,GSTP1,0.210731683,0.565166218,Tendency towards co-occurrence
Prostate Adenocarcinoma,MYC,PIK3CA,0.001365916,1.683545885,Tendency towards co-occurrence(Significant)
Prostate Adenocarcinoma,MYC,RALBP1,0.001118363,2.133121691,Tendency towards co-occurrence(Significant)
Prostate Adenocarcinoma,TP53,GSTA1,0.398361266,#NAME?,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,TP53,GSTM2,0.220304576,-1.128026174,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,TP53,GSTP1,0.080440653,-1.526056303,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,TP53,PIK3CA,0.408030764,-0.47070563,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,TP53,RALBP1,0.475316433,-0.609765572,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,GSTA1,GSTM2,0.040384979,2.210211773,Tendency towards co-occurrence(Significant)
Prostate Adenocarcinoma,GSTA1,GSTP1,0.0004663,3.274680666,Tendency towards co-occurrence(Significant)
Prostate Adenocarcinoma,GSTA1,PIK3CA,0.325580287,1.121677562,Tendency towards co-occurrence
Prostate Adenocarcinoma,GSTA1,RALBP1,0.800986444,#NAME?,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,GSTM2,GSTP1,0.012620987,1.556091932,Tendency towards co-occurrence(Significant)
Prostate Adenocarcinoma,GSTM2,PIK3CA,0.659586047,-0.202524264,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,GSTM2,RALBP1,0.488078415,#NAME?,Tendency towards mutual exclusivity
Prostate Adenocarcinoma,GSTP1,PIK3CA,0.078627357,1.084013489,Tendency towards co-occurrence
Prostate Adenocarcinoma,GSTP1,RALBP1,0.643923191,0.030983546,Tendency towards co-occurrence
Prostate Adenocarcinoma,PIK3CA,RALBP1,0.170631207,1.156550126,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,MYC,TP53,0.614444008,0.108213585,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,MYC,GSTA1,0.573332012,#NAME?,Tendency towards mutual exclusivity
Papillary Thyroid Carcinoma,MYC,GSTM2,0.681775668,#NAME?,Tendency towards mutual exclusivity
Papillary Thyroid Carcinoma,MYC,GSTP1,0.426667988,0.693147181,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,MYC,PIK3CA,0.19648883,1.033015006,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,MYC,RALBP1,0.502851999,#NAME?,Tendency towards mutual exclusivity
Papillary Thyroid Carcinoma,TP53,GSTA1,0.163913166,1.171637424,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,TP53,GSTM2,0.411989544,0.756569007,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,TP53,GSTP1,0.003985261,2.176433808,Tendency towards co-occurrence(Significant)
Papillary Thyroid Carcinoma,TP53,PIK3CA,0.301817701,#NAME?,Tendency towards mutual exclusivity
Papillary Thyroid Carcinoma,TP53,RALBP1,0.614444008,0.108213585,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,GSTA1,GSTM2,0.266537582,1.341013657,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,GSTA1,GSTP1,0.065660677,1.794510503,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,GSTA1,PIK3CA,0.497000632,#NAME?,Tendency towards mutual exclusivity
Papillary Thyroid Carcinoma,GSTA1,RALBP1,0.426667988,0.693147181,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,GSTM2,GSTP1,0.002209578,2.91506437,Tendency towards co-occurrence(Significant)
Papillary Thyroid Carcinoma,GSTM2,PIK3CA,0.07314304,1.745743232,Tendency towards co-occurrence
Papillary Thyroid Carcinoma,GSTM2,RALBP1,6.9941E-06,3.733331217,Tendency towards co-occurrence(Significant)
Papillary Thyroid Carcinoma,GSTP1,PIK3CA,0.024112441,1.843346838,Tendency towards co-occurrence(Significant)
Papillary Thyroid Carcinoma,GSTP1,RALBP1,0.012824272,2.12272205,Tendency towards co-occurrence(Significant)
Papillary Thyroid Carcinoma,PIK3CA,RALBP1,0.04269517,1.572567377,Tendency towards co-occurrence(Significant)
Uterine Corpus Endometrial Cancer,MYC,TP53,3.57795E-06,1.732336049,Tendency towards co-occurrence(Significant)
Uterine Corpus Endometrial Cancer,MYC,GSTA1,0.529886904,0.131691466,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,MYC,GSTM2,0.514604053,-0.302761179,Tendency towards mutual exclusivity
Uterine Corpus Endometrial Cancer,MYC,GSTP1,0.187018429,0.583817281,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,MYC,PIK3CA,0.099965948,0.560543002,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,MYC,RALBP1,0.004012029,1.424459769,Tendency towards co-occurrence(Significant)
Uterine Corpus Endometrial Cancer,TP53,GSTA1,0.247636031,0.47957308,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,TP53,GSTM2,0.081034593,0.864997437,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,TP53,GSTP1,6.18388E-05,1.770319138,Tendency towards co-occurrence(Significant)
Uterine Corpus Endometrial Cancer,TP53,PIK3CA,0.144097372,0.354518775,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,TP53,RALBP1,1.16883E-06,2.335374916,Tendency towards co-occurrence(Significant)
Uterine Corpus Endometrial Cancer,GSTA1,GSTM2,0.283516296,#NAME?,Tendency towards mutual exclusivity
Uterine Corpus Endometrial Cancer,GSTA1,GSTP1,0.271832353,0.631202695,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,GSTA1,PIK3CA,0.573172132,-0.029447201,Tendency towards mutual exclusivity
Uterine Corpus Endometrial Cancer,GSTA1,RALBP1,0.002931776,1.848917883,Tendency towards co-occurrence(Significant)
Uterine Corpus Endometrial Cancer,GSTM2,GSTP1,0.078152172,1.129864832,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,GSTM2,PIK3CA,0.147340302,0.762140052,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,GSTM2,RALBP1,0.513475906,-0.531234495,Tendency towards mutual exclusivity
Uterine Corpus Endometrial Cancer,GSTP1,PIK3CA,0.432489547,-0.160278901,Tendency towards mutual exclusivity
Uterine Corpus Endometrial Cancer,GSTP1,RALBP1,0.223438534,0.633774907,Tendency towards co-occurrence
Uterine Corpus Endometrial Cancer,PIK3CA,RALBP1,0.012819385,1.278830795,Tendency towards co-occurrence(Significant)
Pan-Lung,PTPN6,COL18A1,0.406807407,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,FOXO4,0.607734412,0.101352494,Tendency towards co-occurrence
Pan-Lung,PTPN6,CUX2,0.44814363,0.227088965,Tendency towards co-occurrence
Pan-Lung,PTPN6,ARHGEF10L,0.70417327,-0.085613753,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,TIAM1,0.612852096,-0.053601347,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,ZBTB33,0.339001306,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,PTPN6,RALBP1,0.49424551,0.436323096,Tendency towards co-occurrence
Pan-Lung,COL18A1,FOXO4,0.440619886,0.600666328,Tendency towards co-occurrence
Pan-Lung,COL18A1,CUX2,0.540618595,-0.455614892,Tendency towards mutual exclusivity
Pan-Lung,COL18A1,ARHGEF10L,0.499470361,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,COL18A1,TIAM1,0.010459552,1.358660397,Tendency towards co-occurrence(Significant)
Pan-Lung,COL18A1,ZBTB33,0.137501481,1.22029844,Tendency towards co-occurrence
Pan-Lung,COL18A1,RALBP1,0.062481718,1.72932161,Tendency towards co-occurrence
Pan-Lung,FOXO4,CUX2,0.069169387,1.064045559,Tendency towards co-occurrence
Pan-Lung,FOXO4,ARHGEF10L,0.154605126,1.140812643,Tendency towards co-occurrence
Pan-Lung,FOXO4,TIAM1,0.664127486,-0.024929383,Tendency towards mutual exclusivity
Pan-Lung,FOXO4,ZBTB33,0.49723859,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,FOXO4,RALBP1,0.643833321,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,CUX2,ARHGEF10L,0.293794426,0.514443804,Tendency towards co-occurrence
Pan-Lung,CUX2,TIAM1,0.006280982,0.97150207,Tendency towards co-occurrence(Significant)
Pan-Lung,CUX2,ZBTB33,0.03191439,1.171767426,Tendency towards co-occurrence(Significant)
Pan-Lung,CUX2,RALBP1,0.674084985,-0.162234798,Tendency towards mutual exclusivity
Pan-Lung,ARHGEF10L,TIAM1,0.222409029,0.570507409,Tendency towards co-occurrence
Pan-Lung,ARHGEF10L,ZBTB33,0.566096771,0.21991997,Tendency towards co-occurrence
Pan-Lung,ARHGEF10L,RALBP1,0.590861311,#NAME?,Tendency towards mutual exclusivity
Pan-Lung,TIAM1,ZBTB33,0.424693918,0.271264514,Tendency towards co-occurrence
Pan-Lung,TIAM1,RALBP1,0.448415995,0.32668423,Tendency towards co-occurrence
Pan-Lung,ZBTB33,RALBP1,0.601113699,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,COL18A1,0.568565132,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,FOXO4,0.819362681,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,CUX2,0.666775682,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,ARHGEF10L,0.180637319,2.04553999,Tendency towards co-occurrence
Bladder Uroethelial,PTPN6,TIAM1,0.695484446,-0.125769387,Tendency towards mutual exclusivity
Bladder Uroethelial,PTPN6,ZBTB33,0.367417943,1.020650747,Tendency towards co-occurrence
Bladder Uroethelial,PTPN6,RALBP1,0.636316149,0.115310847,Tendency towards co-occurrence
Bladder Uroethelial,COL18A1,FOXO4,0.688537591,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,CUX2,0.532093814,0.424333592,Tendency towards co-occurrence
Bladder Uroethelial,COL18A1,ARHGEF10L,0.688537591,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,TIAM1,0.672789011,-0.016000341,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,ZBTB33,0.423915006,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,COL18A1,RALBP1,0.476306163,-0.628608659,Tendency towards mutual exclusivity
Bladder Uroethelial,FOXO4,CUX2,0.764979686,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,FOXO4,ARHGEF10L,0.12340509,2.573460047,Tendency towards co-occurrence
Bladder Uroethelial,FOXO4,TIAM1,0.56150959,0.405465108,Tendency towards co-occurrence
Bladder Uroethelial,FOXO4,ZBTB33,0.738826534,#NAME?,Tendency towards mutual exclusivity
Bladder Uroethelial,FOXO4,RALBP1,0.487411229,0.645744942,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,ARHGEF10L,0.235020314,1.691676011,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,TIAM1,0.452432377,0.421213465,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,ZBTB33,0.459859075,0.665996191,Tendency towards co-occurrence
Bladder Uroethelial,CUX2,RALBP1,0.650082941,-0.241162057,Tendency towards mutual exclusivity
Bladder Uroethelial,ARHGEF10L,TIAM1,0.56150959,0.405465108,Tendency towards co-occurrence
Bladder Uroethelial,ARHGEF10L,ZBTB33,0.261173466,1.549333988,Tendency towards co-occurrence
Bladder Uroethelial,ARHGEF10L,RALBP1,0.487411229,0.645744942,Tendency towards co-occurrence
Bladder Uroethelial,TIAM1,ZBTB33,0.214772294,0.875468737,Tendency towards co-occurrence
Bladder Uroethelial,TIAM1,RALBP1,0.250617892,0.557345639,Tendency towards co-occurrence
Bladder Uroethelial,ZBTB33,RALBP1,0.589517445,-0.384845821,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,PTPN6,COL18A1,0.398431581,0.86081158,Tendency towards co-occurrence
Acute Myeloid Leukemia,PTPN6,FOXO4,0.740049573,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,PTPN6,CUX2,0.633867394,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,PTPN6,ARHGEF10L,0.075441826,1.832581464,Tendency towards co-occurrence
Acute Myeloid Leukemia,PTPN6,TIAM1,0.429281244,0.748717032,Tendency towards co-occurrence
Acute Myeloid Leukemia,PTPN6,ZBTB33,0.049338835,2.133508763,Tendency towards co-occurrence(Significant)
Acute Myeloid Leukemia,PTPN6,RALBP1,0.398431581,0.86081158,Tendency towards co-occurrence
Acute Myeloid Leukemia,COL18A1,FOXO4,0.315261719,1.210617347,Tendency towards co-occurrence
Acute Myeloid Leukemia,COL18A1,CUX2,0.436505532,0.720546155,Tendency towards co-occurrence
Acute Myeloid Leukemia,COL18A1,ARHGEF10L,0.472396899,0.595983432,Tendency towards co-occurrence
Acute Myeloid Leukemia,COL18A1,TIAM1,0.020303713,2.070472872,Tendency towards co-occurrence(Significant)
Acute Myeloid Leukemia,COL18A1,ZBTB33,0.007613977,2.560544064,Tendency towards co-occurrence(Significant)
Acute Myeloid Leukemia,COL18A1,RALBP1,0.472396899,0.595983432,Tendency towards co-occurrence
Acute Myeloid Leukemia,FOXO4,CUX2,0.711946424,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,ARHGEF10L,0.684738281,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,TIAM1,0.658402193,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,ZBTB33,0.740049573,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,FOXO4,RALBP1,0.315261719,1.210617347,Tendency towards co-occurrence
Acute Myeloid Leukemia,CUX2,ARHGEF10L,0.436505532,0.720546155,Tendency towards co-occurrence
Acute Myeloid Leukemia,CUX2,TIAM1,0.530985172,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,CUX2,ZBTB33,0.061876256,1.972757399,Tendency towards co-occurrence
Acute Myeloid Leukemia,CUX2,RALBP1,0.436505532,0.720546155,Tendency towards co-occurrence
Acute Myeloid Leukemia,ARHGEF10L,TIAM1,0.493782389,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,ARHGEF10L,ZBTB33,0.398431581,0.86081158,Tendency towards co-occurrence
Acute Myeloid Leukemia,ARHGEF10L,RALBP1,0.527603101,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,TIAM1,ZBTB33,0.570718756,#NAME?,Tendency towards mutual exclusivity
Acute Myeloid Leukemia,TIAM1,RALBP1,0.506217611,0.483796951,Tendency towards co-occurrence
Acute Myeloid Leukemia,ZBTB33,RALBP1,0.398431581,0.86081158,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,COL18A1,0.289283484,0.780158558,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,FOXO4,0.772418469,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,PTPN6,CUX2,0.004794203,2.262919837,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,PTPN6,ARHGEF10L,0.321773382,0.687177014,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,TIAM1,0.171693715,0.925479158,Tendency towards co-occurrence
Colorectal Adenocarcinoma,PTPN6,ZBTB33,0.018112116,3.235873401,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,PTPN6,RALBP1,0.000978375,2.003068563,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,COL18A1,FOXO4,0.812136104,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,COL18A1,CUX2,0.493127002,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,COL18A1,ARHGEF10L,0.63245803,0.080042708,Tendency towards co-occurrence
Colorectal Adenocarcinoma,COL18A1,TIAM1,0.342055044,0.634650974,Tendency towards co-occurrence
Colorectal Adenocarcinoma,COL18A1,ZBTB33,0.812136104,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,COL18A1,RALBP1,0.012169396,1.679307592,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,FOXO4,CUX2,0.146807575,2.319114395,Tendency towards co-occurrence
Colorectal Adenocarcinoma,FOXO4,ARHGEF10L,0.201250755,1.929289268,Tendency towards co-occurrence
Colorectal Adenocarcinoma,FOXO4,TIAM1,0.253327197,1.638425449,Tendency towards co-occurrence
Colorectal Adenocarcinoma,FOXO4,ZBTB33,0.954321145,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,FOXO4,RALBP1,0.672880722,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,CUX2,ARHGEF10L,0.154639424,1.282090584,Tendency towards co-occurrence
Colorectal Adenocarcinoma,CUX2,TIAM1,0.007644121,2.097141119,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,CUX2,ZBTB33,0.853192425,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,CUX2,RALBP1,0.110097602,1.20804613,Tendency towards co-occurrence
Colorectal Adenocarcinoma,ARHGEF10L,TIAM1,0.378097142,0.541597282,Tendency towards co-occurrence
Colorectal Adenocarcinoma,ARHGEF10L,ZBTB33,0.798749245,#NAME?,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,ARHGEF10L,RALBP1,0.000347585,2.266653084,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,TIAM1,ZBTB33,0.022925304,3.091042453,Tendency towards co-occurrence(Significant)
Colorectal Adenocarcinoma,TIAM1,RALBP1,0.613868496,-0.127058878,Tendency towards mutual exclusivity
Colorectal Adenocarcinoma,ZBTB33,RALBP1,0.327119278,1.301257318,Tendency towards co-occurrence
Breast Cancer (Cell),PTPN6,COL18A1,0.584084577,-0.168528235,Tendency towards mutual exclusivity
Breast Cancer (Cell),PTPN6,FOXO4,0.618570033,-0.108633841,Tendency towards mutual exclusivity
Breast Cancer (Cell),PTPN6,CUX2,0.522247779,0.170499818,Tendency towards co-occurrence
Breast Cancer (Cell),PTPN6,ARHGEF10L,0.030034628,1.076989825,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),PTPN6,TIAM1,0.323624453,0.379862071,Tendency towards co-occurrence
Breast Cancer (Cell),PTPN6,ZBTB33,0.005105583,1.134509898,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),PTPN6,RALBP1,0.013054382,0.925769476,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),COL18A1,FOXO4,0.49095148,-0.555569929,Tendency towards mutual exclusivity
Breast Cancer (Cell),COL18A1,CUX2,0.621273001,-0.285349127,Tendency towards mutual exclusivity
Breast Cancer (Cell),COL18A1,ARHGEF10L,0.008117342,1.411704077,Tendency towards co-occurrence(Significant)
Breast Cancer (Cell),COL18A1,TIAM1,0.623452612,-0.099888546,Tendency towards mutual exclusivity
Breast Cancer (Cell),COL18A1,ZBTB33,0.194329873,0.559476133,Tendency towards co-occurrence
Breast Cancer (Cell),COL18A1,RALBP1,0.391146754,0.238001589,Tendency towards co-occurrence
